NA_Sales_Log,JP_Sales_Log,EU_Sales_Log,Other_Sales_Log,Critic_Count,User_Count,Microsoft,Nintendo,Other,PC,PlayStation,Action,Casual,RPG,Simulation,Sports,Strategy,Global_Sales
1.7934247485471162,0.8109302162163288,1.4036429994545037,0.6780335427498971,21,25.0,0,1,0,0,0,1,0,0,0,0,0,10.31
2.0476928433652555,0.03922071315328133,1.275362800412609,0.6471032420585385,29,2118.0,1,0,0,0,0,1,0,0,0,0,0,10.28
1.9387416595767009,0.0,1.413423028508143,0.7227059828014898,15,16.0,0,1,0,0,0,0,1,0,0,0,0,10.12
1.5390154481375546,1.2499017362143359,1.451613827240533,0.4885800148186709,70,425.0,0,1,0,0,0,1,0,0,0,0,0,10.05
2.0869135565185366,0.0769610411361284,1.0885619528146082,0.5822156198526637,99,2053.0,1,0,0,0,0,1,0,0,0,0,0,9.9
1.8794650496471605,1.172482137234565,1.0784095813505903,0.13976194237515863,21,25.0,0,1,0,0,0,0,0,0,0,1,0,9.87
2.038619547159581,0.03922071315328133,1.1939224684724346,0.5538851132264376,87,3273.0,1,0,0,0,0,1,0,0,0,0,0,9.77
1.3887912413184778,1.4539530095937052,1.244154593958768,0.6729444732424258,20,1297.0,0,0,0,0,1,0,0,1,0,0,0,9.72
1.5851452198650557,0.9895411936137477,1.4861396960896067,0.4054651081081644,23,135.0,0,0,0,0,1,0,0,0,0,1,0,9.49
1.916922612182061,0.009950330853168092,1.3480731482996928,0.5766133643039938,24,24.0,0,1,0,0,0,0,1,0,0,0,0,9.44
1.62924053973028,0.3220834991691132,1.5325568680981427,0.8153648132841944,10,1049.0,0,0,0,0,1,1,0,0,0,0,0,9.37
1.9387416595767009,0.12221763272424911,1.2149127443642704,0.6418538861723947,70,1322.0,1,0,0,0,0,1,0,0,0,0,0,9.35
1.1249295969854831,1.691939133945844,1.2325602611778486,0.3364722366212129,70,628.0,0,1,0,0,0,0,0,0,1,0,0,9.34
1.6789639750827108,1.3862943611198906,0.9969486348916096,0.20701416938432612,21,25.0,0,1,0,0,0,1,0,0,0,0,0,9.3
1.9110228900548727,0.01980262729617973,1.308332819650179,0.5988365010887039,21,25.0,1,0,0,0,0,0,1,0,0,0,0,9.3
0.6418538861723947,0.08617769624105241,2.0476928433652555,0.8458682675776092,41,442.0,0,0,0,0,1,0,0,0,0,1,0,9.07
1.6863989535702288,1.091923300517313,1.0473189942805592,0.5187937934151676,27,85.0,0,1,0,0,0,0,1,0,0,0,0,8.91
1.8050046959780757,0.09531017980432493,1.33500106673234,0.6205764877251098,89,3602.0,1,0,0,0,0,0,0,1,0,0,0,8.84
1.5129270120532565,1.57069708411767,0.8064758658669485,0.16551443847757333,21,25.0,0,1,0,0,0,0,0,0,0,1,0,8.76
0.7561219797213337,0.058268908123975824,1.9643112344262046,0.8241754429663495,42,902.0,0,0,0,0,1,0,0,0,0,1,0,8.6
2.05668455455722,0.04879016416943205,0.928219302739429,0.0769610411361284,91,1224.0,1,0,0,0,0,1,0,0,0,0,0,8.49
1.0116009116784799,1.2499017362143359,1.4996230464268938,0.5128236264286637,42,55.0,0,1,0,0,0,0,1,0,0,0,0,8.39
1.556037135706985,0.9477893989335261,1.1786549963416462,0.5364933705145685,41,191.0,0,1,0,0,0,0,1,0,0,0,0,8.28
1.413423028508143,0.19885085874516517,1.5173226235262949,0.8415671856782188,21,25.0,0,0,0,0,1,1,0,0,0,0,0,8.21
0.7275486072772779,0.12221763272424911,1.7934247485471162,1.0885619528146082,37,350.0,0,0,0,0,1,1,0,0,0,0,0,8.17
1.916922612182061,0.12221763272424911,1.1019400787607843,0.13976194237515863,21,25.0,0,1,0,0,0,1,0,0,0,0,0,8.09
1.332366019094335,1.423108334242607,1.000631880307906,0.34358970439007686,21,25.0,0,1,0,0,0,0,0,1,0,0,0,8.08
1.3635373739972745,1.3164082336557241,1.1216775615991057,0.28517894223366247,53,1077.0,0,0,0,0,1,0,0,1,0,0,0,8.05
0.688134638736401,0.0,2.004179057179289,0.47000362924573563,75,894.0,0,0,0,1,0,0,0,0,1,0,0,8.01
1.2725655957915476,0.506817602368452,1.5810384379124023,0.6471032420585385,21,25.0,0,1,0,0,0,0,0,0,0,1,0,7.99
